[2025-04-08 14:17:15,472] 18 root - INFO -Initiate the data ingestion
[2025-04-08 14:17:16,875] 67 root - INFO -Performed train test split on the dataframe
[2025-04-08 14:17:16,875] 69 root - INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-08 14:17:16,875] 77 root - INFO -Exporting train and test file path.
[2025-04-08 14:17:16,960] 86 root - INFO -Exported train and test file path.
[2025-04-08 14:17:16,960] 20 root - INFO -Data Initiation Completed
[2025-04-08 14:17:16,973] 24 root - INFO -Initiate the data Validation
[2025-04-08 14:17:17,075] 40 root - INFO -Required number of columns:2
[2025-04-08 14:17:17,091] 41 root - INFO -Data frame has columns:31
[2025-04-08 14:17:17,091] 40 root - INFO -Required number of columns:2
[2025-04-08 14:17:17,091] 41 root - INFO -Data frame has columns:31
[2025-04-08 14:17:17,314] 26 root - INFO -data Validation Completed
[2025-04-08 14:17:17,315] 29 root - INFO -data Transformation started
[2025-04-08 14:17:17,315] 84 root - INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-04-08 14:17:17,315] 86 root - INFO -Starting data transformation
[2025-04-08 14:17:17,353] 69 root - INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-08 14:17:17,353] 74 root - INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-08 14:17:17,387] 50 root - INFO -Entered the save_object method of MainUtils class
[2025-04-08 14:17:17,392] 54 root - INFO -Exited the save_object method of MainUtils class
[2025-04-08 14:17:17,392] 50 root - INFO -Entered the save_object method of MainUtils class
[2025-04-08 14:17:17,395] 54 root - INFO -Exited the save_object method of MainUtils class
[2025-04-08 14:17:17,397] 33 root - INFO -data Transformation completed
